id;pet_id;owner_id;vet_id;appt_time;status;created_at
1;7154;17489;4089;2025-09-09T07:13:50;CANCELLED;2025-09-09T09:49:43
2;29729;17438;27998;2025-09-08T19:33:40;PENDING;2025-09-08T21:18:21
3;9532;3211;18264;2025-09-08T23:17:09;PENDING;2025-09-09T00:16:28
4;5485;31806;20092;2025-09-09T15:05:18;CANCELLED;2025-09-09T05:11:12
5;16592;6734;18236;2025-09-09T09:15:31;CONFIRMED;2025-09-08T16:47:28
6;16346;10642;20600;2025-09-08T21:31:37;CANCELLED;2025-09-09T08:42:48
7;29977;16939;499;2025-09-09T12:43:35;DONE;2025-09-09T00:56:42
8;22012;31148;31566;2025-09-08T21:48:44;PENDING;2025-09-09T00:34:08
9;15656;4741;4487;2025-09-09T13:52:33;PENDING;2025-09-08T23:24:16
10;17426;25944;17598;2025-09-08T18:03:15;CANCELLED;2025-09-09T06:04:00
