id;owner_id;name;species;breed;age;gender;photo_url;created_at
1;12828;carefully left;oof whenever reluctantly;unique till;20128;MALE;helpfully accompany;2025-09-08T22:37:36
2;23393;inure;oh casement oof;before blah;25145;FEMALE;restfully when gift;2025-09-09T02:57:30
3;8229;quaff ah violently;before preregister;ignorance woot ski;24682;FEMALE;sensitize viciously cow;2025-09-09T13:07:17
4;3060;tensely sedately blissfully;ah;wheel;22073;FEMALE;wearily after;2025-09-09T13:56:53
5;26157;kaleidoscopic;gee numb;aha hovercraft;24561;FEMALE;spellcheck uniform;2025-09-08T15:38:54
6;7165;psst;owlishly upward;notwithstanding saloon depend;30324;MALE;phew;2025-09-09T03:19:14
7;18313;phooey taut;quizzically reporter;astonishing;4138;FEMALE;costume lest;2025-09-09T12:57:55
8;29093;sniveling;meanwhile mid although;knowingly although brr;15002;FEMALE;whose despite;2025-09-08T17:06:12
9;10999;where cycle woot;formula ah;sans refute dimly;568;FEMALE;gym but;2025-09-09T10:50:20
10;2986;doing duh;taut sweetly;venom;22418;FEMALE;eek minty;2025-09-09T06:46:33
